size, number of comparisions
30,429
40,770
50,1219
60,1742
70,2409
80,3150
90,3927
100,4884
110,5929
120,7049
130,8109
140,9652
150,11004
160,12600
170,14287
180,15857
190,17427
200,19372
210,21909
220,23919
230,26307
240,28652
250,30972
260,33292
270,36144
280,38654
290,41164
300,44714
310,47570
320,50410
330,54207
340,57539
350,60799
360,64242
370,67737
380,71989
390,75810
400,79734
410,83779
420,87759
430,91739
440,96544
450,100970
460,105360
470,109750
480,114140
490,119370
500,123970
510,128570
520,133170
530,139104
540,145452
550,150722
560,155992
570,162060
580,167610
590,173734
600,179595
610,185535
620,191425
