size, number of comparisions
30,140
40,210
50,273
60,346
70,415
80,474
90,561
100,640
110,719
120,788
130,865
140,945
150,1031
160,1101
170,1188
180,1269
190,1342
200,1444
210,1539
220,1622
230,1707
240,1774
250,1872
260,1963
270,2062
280,2158
290,2234
300,2353
310,2420
320,2521
330,2615
340,2723
350,2810
360,2896
370,3018
380,3114
390,3211
400,3290
410,3389
420,3486
430,3569
440,3681
450,3770
460,3886
470,3967
480,4080
490,4163
500,4280
510,4383
520,4472
530,4591
540,4698
550,4799
560,4888
570,4988
580,5102
590,5195
600,5301
610,5405
620,5509
