size, number of comparisions
30,242
40,418
50,564
60,796
70,1155
80,1651
90,2143
100,2629
110,3231
120,3725
130,4197
140,4844
150,5368
160,5728
170,6609
180,7467
190,8416
200,9425
210,10136
220,11239
230,12514
240,13356
250,14166
260,15807
270,17437
280,19023
290,20116
300,21737
310,22888
320,24244
330,26192
340,27500
350,29023
360,30616
370,32720
380,34659
390,36241
400,38761
410,41191
420,43290
430,44799
440,47270
450,49740
460,52318
470,54320
480,56916
490,58983
500,61648
510,64769
520,67442
530,69406
540,72404
550,74680
560,77651
570,81064
580,83837
590,87136
600,89416
610,91924
620,95379
