size, number of comparisions
30,134
40,196
50,269
60,329
70,347
80,435
90,493
100,588
110,900
120,868
130,853
140,981
150,1056
160,1215
170,1266
180,1309
190,1427
200,1632
210,1656
220,1647
230,1887
240,2101
250,2152
260,1956
270,2279
280,2639
290,2329
300,2535
310,2720
320,2817
330,2805
340,3259
350,3124
360,3124
370,3597
380,3661
390,3825
400,3635
410,4119
420,4769
430,4219
440,3840
450,4422
460,4513
470,4673
480,4619
490,4651
500,5784
510,5245
520,5402
530,5301
540,6019
550,5468
560,5552
570,5975
580,6438
590,6130
600,6416
610,6606
620,6731
630,6521
640,7189
650,7315
660,7684
670,8174
680,8211
690,8117
700,8230
710,8111
720,7908
730,7703
740,8113
750,9033
760,8554
770,9214
780,8884
790,9328
800,8990
810,9032
820,9516
