size, number of comparisions
30,435
40,780
50,1225
60,1770
70,2415
80,3160
90,4005
100,4950
110,5995
120,7140
130,8385
140,9730
150,11175
160,12720
170,14365
180,16110
190,17955
200,19900
210,21945
220,24090
230,26335
240,28680
250,31125
260,33670
270,36315
280,39060
290,41905
300,44850
310,47895
320,51040
330,54285
340,57630
350,61075
360,64620
370,68265
380,72010
390,75855
400,79800
410,83845
420,87990
430,92235
440,96580
450,101025
460,105570
470,110215
480,114960
490,119805
500,124750
510,129795
520,134940
530,140185
540,145530
550,150975
560,156520
570,162165
580,167910
590,173755
600,179700
610,185745
620,191890
